Ps.no,Na-47,Pti,Pmln,Ppp,Ji,Mnk,Tlp
243,"Islamabad Model College for Girls Margalla Town, Islamabad. (Female)",431,92,8,26,11,14
244,"Islamabad Model College for Girls Margalla Town, Islamabad. (Male)",372,147,12,40,20,12
245,"Islamabad Model College for Girls Margalla Town, Islamabad. (Female)",356,124,7,37,13,10
246,"Gosha Mishal School & College, St No-27, Puna Faqeeran, Kachi Basti, Margalla Tow",309,178,42,12,22,41
247,"Gosha Mishal School & College, St No-27, Puna Faqeeran, Kachi Basti, Margalla Tow",244,128,30,5,6,19
248,"Islamabad Model College for Girls (I-X) Rawal Town, Islamabad. (Male)",505,160,70,28,35,43
249,"Islamabad Model College for Girls (I-X) Rawal Town, Islamabad. (Female)",406,119,53,22,27,17
250,"Ali Abbas Shaheed Model College for Boys (VI-XII), G-6/2, Islamabad. (Male)",397,125,89,23,15,8
251,"Ali Abbas Shaheed Model College for Boys (VI-XII), G-6/2, Islamabad. (Female)",338,112,61,20,9,2
252,"Islamabd Model School for Girls ( I-V) G-6/2, Luqman Hakeem Road, Islamabad. (Ma",321,134,26,27,10,4
253,"Islamabd Model School for Girls ( I-V) G-6/2, Luqman Hakeem Road, Islamabad. (Fe",276,87,9,12,6,1
254,Islamabad Model School (I-V) Cafe Irum Market  G-6/2 Islamabad (Male),286,112,20,26,9,2
255,Islamabad Model School (I-V) Cafe Irum Market  G-6/2 Islamabad (Female),297,74,12,21,4,0
256,Islamabad Model School (I-V) Cafe Irum Market  G-6/2 Islamabad (Male),252,93,20,13,10,4
257,Islamabad Model School (I-V) Cafe Irum Market  G-6/2 Islamabad (Female),201,40,7,9,6,1
258,"Islamabad Model School (I-VIII) G-6/2, Islamabad. (Male)",418,174,72,22,16,10
259,"Islamabad Model School (I-VIII) G-6/2, Islamabad. (Female)",331,110,34,21,8,3
260,"Islamabad College for Boys, (Post Graduate), G-6/3, Islamabad. (Combined)",286,64,10,19,15,6
261,"Islamabad College for Boys, (Post Graduate), G-6/3, Islamabad.  (Male)",312,118,16,10,18,4
262,"Islamabad College for Boys, (Post Graduate), G-6/3, Islamabad.  (Female)",268,66,12,14,14,1
263,"Islamabad Model College for Boys (VI-X), G-6/4, Islamabad. (Male)",416,137,29,18,11,18
264,"Islamabad Model College for Boys (VI-X), G-6/4, Islamabad. (Female)",366,81,19,19,4,4
265,"Islamabad Model School, (I-V)  G-6/1-1, Near Mobeen Masjid, Islamabad. (Male)",460,182,93,27,52,14
266,"Islamabad Model School, (I-V)  G-6/1-1, Near Mobeen Masjid, Islamabad. (Female)",418,126,54,11,44,7
267,"Islamabad Model College for Girls (VI-XII), G-6/1-4, Near Utillity Store, Islamabad. (",439,193,53,43,23,22
268,"Islamabad Model College for Girls (VI-XII), G-6/1-4, Near Utillity Store, Islamabad. (F",326,130,28,26,12,11
